,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city,day,dist
0,27.99000000000001,54,1016,Sky is Clear,1436863096,2.1,100,Piacenza,2015-07-14 10:38:16,200
1,29.129999999999995,48,1016,Sky is Clear,1436866685,2.6,0,Piacenza,2015-07-14 11:38:05,200
2,30.210000000000036,48,1016,Sky is Clear,1436870387,2.6,140,Piacenza,2015-07-14 12:39:47,200
3,31.400000000000034,45,1015,Sky is Clear,1436873990,2.1,0,Piacenza,2015-07-14 13:39:50,200
4,31.879999999999995,48,1010,Sky is Clear,1436877535,0.51,23,Piacenza,2015-07-14 14:38:55,200
5,33.110000000000014,36,1014,Sky is Clear,1436881203,2.1,0,Piacenza,2015-07-14 15:40:03,200
6,33.379999999999995,38,1014,Sky is Clear,1436884798,2.1,230,Piacenza,2015-07-14 16:39:58,200
7,33.69,52,1014,Sky is Clear,1436888397,1.42,104.001,Piacenza,2015-07-14 17:39:57,200
8,33.25,38,1013,Sky is Clear,1436891995,2.6,210,Piacenza,2015-07-14 18:39:55,200
9,32.98000000000002,35,1014,Sky is Clear,1436895589,4.1,210,Piacenza,2015-07-14 19:39:49,200
10,31.840000000000032,48,1013,Sky is Clear,1436899228,2.1,220,Piacenza,2015-07-14 20:40:28,200
11,30.100000000000023,61,1014,Sky is Clear,1436902807,2.1,200,Piacenza,2015-07-14 21:40:07,200
12,29.970000000000027,56,1010,Sky is Clear,1436906392,0.41000000000000003,313.504,Piacenza,2015-07-14 22:39:52,200
13,28.53000000000003,61,1015,scattered clouds,1436910013,0.5,0,Piacenza,2015-07-14 23:40:13,200
14,27.689999999999998,61,1015,few clouds,1436913619,1,0,Piacenza,2015-07-15 00:40:19,200
15,26.610000000000014,65,1015,Sky is Clear,1436917172,1.5,70,Piacenza,2015-07-15 01:39:32,200
16,26.29000000000002,65,1015,Sky is Clear,1436920792,1.5,80,Piacenza,2015-07-15 02:39:52,200
17,25.510000000000048,65,1016,Sky is Clear,1436924339,2.6,80,Piacenza,2015-07-15 03:38:59,200
18,24.680000000000007,69,1015,Sky is Clear,1436927966,1,0,Piacenza,2015-07-15 04:39:26,200
19,25.0,69,1015,Sky is Clear,1436931592,1,90,Piacenza,2015-07-15 05:39:52,200
20,22.99000000000001,73,1016,Sky is Clear,1436935172,1.5,140,Piacenza,2015-07-15 06:39:32,200
21,22.54000000000002,65,1016,few clouds,1436938764,1,0,Piacenza,2015-07-15 07:39:24,200
22,25.210000000000036,94,1016,Sky is Clear,1436942384,0.52,330.501,Piacenza,2015-07-15 08:39:44,200
23,26.610000000000014,54,1017,few clouds,1436945880,3.1,100,Piacenza,2015-07-15 09:38:00,200
