,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city,day,dist
0,28.660000000000025,51,1016,Sky is Clear,1436863113,2.1,140,Mantova,2015-07-14 10:38:33,121
1,30.100000000000023,45,1016,Sky is Clear,1436866700,2.1,0,Mantova,2015-07-14 11:38:20,121
2,30.140000000000043,42,1016,Sky is Clear,1436870406,2.1,170,Mantova,2015-07-14 12:40:06,121
3,30.74000000000001,45,1016,Sky is Clear,1436874012,1.5,0,Mantova,2015-07-14 13:40:12,121
4,31.220000000000027,38,1015,Sky is Clear,1436877561,1.5,180,Mantova,2015-07-14 14:39:21,121
5,31.879999999999995,40,1015,Sky is Clear,1436881225,2.1,150,Mantova,2015-07-14 15:40:25,121
6,32.610000000000014,41,1014,Sky is Clear,1436884818,2.6,140,Mantova,2015-07-14 16:40:18,121
7,32.900000000000034,41,1014,Sky is Clear,1436888416,1.5,0,Mantova,2015-07-14 17:40:16,121
8,32.77000000000004,43,1014,Sky is Clear,1436892019,2.1,150,Mantova,2015-07-14 18:40:19,121
9,33.30000000000001,38,1014,Sky is Clear,1436895608,1.5,160,Mantova,2015-07-14 19:40:08,121
10,32.22000000000003,45,1014,Sky is Clear,1436899250,1.5,160,Mantova,2015-07-14 20:40:50,121
11,29.80000000000001,58,1014,Sky is Clear,1436902830,1,100,Mantova,2015-07-14 21:40:30,121
12,29.05000000000001,65,1015,Sky is Clear,1436906423,2.1,90,Mantova,2015-07-14 22:40:23,121
13,27.220000000000027,65,1016,Sky is Clear,1436910034,2.6,70,Mantova,2015-07-14 23:40:34,121
14,26.650000000000034,65,1016,Sky is Clear,1436913638,2.6,70,Mantova,2015-07-15 00:40:38,121
15,26.060000000000002,65,1016,Sky is Clear,1436917199,2.6,60,Mantova,2015-07-15 01:39:59,121
16,25.920000000000016,69,1016,Sky is Clear,1436920818,2.1,80,Mantova,2015-07-15 02:40:18,121
17,25.03000000000003,69,1016,Sky is Clear,1436924365,2.1,40,Mantova,2015-07-15 03:39:25,121
18,24.060000000000002,73,1016,Sky is Clear,1436927989,1.5,330,Mantova,2015-07-15 04:39:49,121
19,23.77000000000004,83,1016,Sky is Clear,1436931611,2.1,330,Mantova,2015-07-15 05:40:11,121
20,24.53000000000003,78,1016,Sky is Clear,1436935187,2.1,330,Mantova,2015-07-15 06:39:47,121
21,24.24000000000001,73,1016,Sky is Clear,1436938784,1,0,Mantova,2015-07-15 07:39:44,121
22,26.400000000000034,69,1016,few clouds,1436942399,1,120,Mantova,2015-07-15 08:39:59,121
23,28.74000000000001,61,1017,few clouds,1436945893,1.5,110,Mantova,2015-07-15 09:38:13,121
